offering_id,department_id,department_name,is_engineering_accredited,curriculum_year,cohort_rule,curriculum_area,is_msc,year,year_label,semester,requirement_type_raw,requirement_type_normalized,is_curriculum_required,is_policy_required,is_effectively_required,required_reason,course_code,course_name_raw,course_name_canonical,is_design_course,credit_structure_raw,credits,lecture_hours,design_hours,practice_hours,source_document,source_table_index,source_row_index,normalization_note,quality_flag
OFF0001,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,general_common,0,1,1,1,교필(공통),required,1,0,1,교육과정표 필수,LA0299,글쓰기와 발표,글쓰기와발표,0,2-2-0-0,2,2,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),73,2,공백 제거,NORMALIZED_NAME
OFF0002,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,general_common,0,1,1,2,교필(공통),required,1,0,1,교육과정표 필수,LA0366,디지털문해력,디지털문해력,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),73,2,,
OFF0003,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,general_common,0,1,1,1,교필(공통),required,1,0,1,교육과정표 필수,LA0365,글로벌커뮤니케이션,글로벌커뮤니케이션,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),73,3,,
OFF0004,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,academic_foundation_msc,1,1,1,1,교필(지정),required,1,0,1,교육과정표 필수,LA0500,대학수학1,대학수학1,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),73,4,,
OFF0005,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,academic_foundation_msc,1,1,1,2,교필(지정),required,1,0,1,교육과정표 필수,LA0505,대학수학2,대학수학2,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),73,4,,
OFF0006,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,academic_foundation_msc,1,1,1,1,교필(지정),required,1,0,1,교육과정표 필수,LA0501,일반물리학1,일반물리학1,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),73,5,,
OFF0007,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,academic_foundation_msc,1,1,1,2,교필(지정),required,1,0,1,교육과정표 필수,LA0508,일반물리학2,일반물리학2,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),73,5,,POSSIBLE_SOURCE_CODE_TYPO
OFF0008,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,academic_foundation_msc,1,1,1,1,교필(지정),required,1,0,1,교육과정표 필수,LA0503,일반화학1,일반화학1,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),73,6,,
OFF0009,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,academic_foundation_msc,1,2,2,1,교필(지정),required,1,0,1,교육과정표 필수,LA0510,공학수학,공학수학,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),73,7,,
OFF0010,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,academic_foundation_msc,1,2,2,2,교필(지정),required,1,0,1,교육과정표 필수,LA0515,확률및통계,확률및통계,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),73,7,,
OFF0011,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,0,전학년,1,전선,elective,0,0,0,,FP0001,지도교수상담,지도교수상담,0,0-0-0-0,0,0,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,2,,
OFF0012,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,0,전학년,2,전선,elective,0,0,0,,FP0001,지도교수상담,지도교수상담,0,0-0-0-0,0,0,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,2,,
OFF0013,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,1,1,2,전필,required,1,0,1,교육과정표 필수,AA1011,스마트그린빌딩의 이해,스마트그린빌딩의이해,0,2-2-0-0,2,2,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,3,공백 제거,NORMALIZED_NAME
OFF0014,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,1,1,1,전선,elective,0,0,0,,AA0001,건축토목환경공학개론,건축토목환경공학개론,0,2-2-0-0,2,2,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,4,,
OFF0015,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,1,1,2,전선,elective,0,0,0,,AA1012,건축과컴퓨터,건축과컴퓨터,0,3-2-0-2,3,2,0,2,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,4,,
OFF0016,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,2,2,1,전필,required,1,0,1,교육과정표 필수,AA1021,공학역학,공학역학,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,6,,
OFF0017,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,2,2,2,전필,required,1,0,1,교육과정표 필수,AA1025,재료역학,재료역학,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,6,,
OFF0018,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,2,2,2,전필,required,1,0,1,교육과정표 필수,AA1026,건축시공계획,건축시공계획,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,7,,
OFF0019,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,2,2,2,전필,required,1,0,1,교육과정표 필수,AA1027,건축환경,건축환경,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,8,,
OFF0020,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,2,2,1,전선,elective,0,0,0,,AA1022,건축재료,건축재료,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,9,,
OFF0021,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,2,2,2,전선,elective,0,0,0,,AA1028,건축공학창의설계,건축공학창의설계,1,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,9,,
OFF0022,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,2,2,1,전선,elective,0,0,0,,AA1023,건축구조시스템,건축구조시스템,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,10,,
OFF0023,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,2,2,1,전선,elective,0,0,0,,AA1024,건축공학 창의적 컴퓨팅,건축공학창의적컴퓨팅,0,3-2-0-2,3,2,0,2,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,11,공백 제거,NORMALIZED_NAME
OFF0024,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,3,3,1,전필,required,1,0,1,교육과정표 필수,AA1031,건축구조역학1,건축구조역학1,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,13,,
OFF0025,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,3,3,2,전필,required,1,0,1,교육과정표 필수,AA1036,강구조,강구조,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,13,,
OFF0026,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,3,3,1,전필,required,1,0,1,교육과정표 필수,AA1032,철근콘크리트1,철근콘크리트1,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,14,,
OFF0027,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,3,3,2,전필,required,1,0,1,교육과정표 필수,AA1037,건축융합시스템설계1(종합설계),건축융합시스템설계1(종합설계),1,2-2-0-0,2,2,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,14,,
OFF0028,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,3,3,1,전필,required,1,0,1,교육과정표 필수,AA1033,건축설비,건축설비,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,15,,
OFF0029,ARCH,건축공학전공,0,2026,2025학년도 이후 입학자 기준,major,0,3,3,1,전필,required,1,0,1,교육과정표 필수,AA1034,건축시공,건축시공,0,3-3-0-0,3,3,0,0,2026학년도 교육과정 운영기준 및 편성표(2026.02.27.),74,16,,
